ACL v0.4 @ 0.01.cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
10.651592,9.610561,5.014402
10.651592,9.630788,5.042821
10.786093,9.671497,5.068355
10.836266,9.69785,5.098201
10.987737,9.810719,5.098201
11.044565,9.917027,5.163953
11.795986,9.917027,5.163953
13.616153,10.233866,5.45597
9.377991,8.879736,4.94571
10.336396,9.622136,4.977682
10.336396,9.665272,5.010846
10.416298,9.665272,5.036599
10.755799,9.773345,5.092913
10.755799,9.785174,5.092913
10.78989,9.785174,5.104972
10.863285,9.835767,5.111427
10.901736,9.868782,5.111427
10.901736,9.868782,5.135779
11.096243,9.877826,5.135779
11.578947,9.877826,5.15625
11.578947,9.914163,5.15625
11.793236,9.914163,5.181032
11.793236,9.914163,5.181032
12.057042,9.914163,5.21697
12.057042,9.947708,5.21697
12.076177,9.947708,5.364074
10.828524,9.068889,5.015054
10.828524,9.068889,5.018137
10.998147,9.225204,5.023542
11.026936,9.397812,5.071928
11.199039,9.397812,5.071928
11.199039,9.521143,5.138181
11.20096,9.521143,5.138181
11.220208,9.642056,5.152778
11.220208,9.72535,5.152778
11.348918,9.863444,5.17237
12.06727,9.863444,5.17237
12.06727,10.218467,5.305167
10.612994,8.861522,5.006228
10.718269,9.519353,5.01537
10.971619,9.519353,5.040685
11.409382,9.608163,5.109457
11.409382,9.675866,5.109457
11.981821,9.74453,5.15582
11.981821,9.74453,5.15582
9.175011,8.825684,4.981878
9.266383,9.100958,4.981878
10.803508,9.100958,5.040764
10.803508,9.138461,5.086238
10.804385,9.317647,5.118326
10.804385,9.772033,5.130958
10.938507,9.780653,5.157209
11.342256,9.789288,5.157209
12.251934,9.84142,5.23348
12.332561,9.84142,5.23348
12.544168,10.311221,5.488203
10.383361,8.986081,4.983967
10.476518,9.192771,4.995833
10.547282,9.223077,5.003279
10.588866,9.240848,5.003279
10.874403,9.253583,5.005517
10.979315,9.258687,5.010746
10.979315,9.680508,5.031775
11.149784,9.71131,5.072065
11.242193,9.787755,5.156197
11.68433,9.813505,5.169695
