ACL v0.4 @ 0.01cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
10.56667,9.000801,4.911186
10.567908,9.002353,4.911265
10.572,9.003301,4.911431
10.572,9.003392,4.911483
10.572614,9.004955,4.911814
10.574338,9.005056,4.911842
10.574635,9.006266,4.911975
10.587224,9.00646,4.912094
10.588866,9.008641,4.912187
10.593293,9.008947,4.912281
10.594052,9.010638,4.912689
10.596331,9.012321,4.912883
10.596331,9.012541,4.913077
10.601357,9.013477,4.913178
10.610209,9.013737,4.913178
10.610209,9.014634,4.913315
10.612994,9.014634,4.913845
10.613428,9.016263,4.91424
10.615253,9.016263,4.91424
10.615253,9.016949,4.914536
10.618484,9.017567,4.914536
10.620689,9.017567,4.914602
10.620689,9.018707,4.914602
10.620689,9.019185,4.914799
10.620689,9.019523,4.914814
10.623932,9.021168,4.914814
10.623932,9.022742,4.914894
10.624555,9.023241,4.915007
10.626159,9.028111,4.915091
10.626159,9.029217,4.915091
10.627156,9.031026,4.91545
10.629558,9.031656,4.915748
10.629853,9.031782,4.915751
10.631799,9.031809,4.915827
10.632579,9.031809,4.915899
10.632812,9.032704,4.915986
10.638806,9.033414,4.91611
10.641699,9.03417,4.916285
10.642574,9.034296,4.916811
10.643313,9.038194,4.916811
10.643628,9.03891,4.917058
10.644673,9.039702,4.917099
10.649991,9.040165,4.917214
10.651592,9.040395,4.917717
10.651592,9.040428,4.917717
10.654709,9.040428,4.917895
10.654956,9.042541,4.918079
10.656615,9.04336,4.918219
10.656707,9.044823,4.918403
10.658427,9.047526,4.918429
10.660768,9.047765,4.918429
10.661686,9.050695,4.918429
10.662471,9.050695,4.918878
10.662795,9.053289,4.919203
10.662906,9.054385,4.919317
10.662906,9.054385,4.919602
10.662906,9.054458,4.920218
10.663886,9.054493,4.920372
10.666667,9.054493,4.920638
10.670958,9.058824,4.920839
10.671089,9.058824,4.920843
10.677209,9.058824,4.921021
10.677209,9.05962,4.92107
10.680327,9.062198,4.92107
10.680327,9.063267,4.921165
10.680582,9.063267,4.921314
10.684106,9.064629,4.92136
10.684106,9.064786,4.92136
10.686066,9.064837,4.921496
10.689805,9.065112,4.921983
10.691,9.066516,4.922145
10.692268,9.067059,4.92219
10.698947,9.067059,4.922271
10.698947,9.067714,4.922362
10.701114,9.068889,4.922374
10.703222,9.068889,4.92302
10.710077,9.069638,4.923274
10.710655,9.072321,4.923466
10.710989,9.072868,4.923513
10.713433,9.073702,4.923553
10.713433,9.073831,4.923732
10.714665,9.076158,4.923758
10.717185,9.07674,4.923758
10.718269,9.077862,4.924248
10.718818,9.078032,4.924432
10.7211,9.078361,4.924464
10.7211,9.080054,4.924464
10.724316,9.081225,4.924623
10.726368,9.081225,4.924623
10.72809,9.081231,4.924632
10.731539,9.08135,4.924669
10.736132,9.081967,4.924957
10.736132,9.082708,4.924969
10.737659,9.082719,4.925251
10.738031,9.085107,4.925251
10.740157,9.085638,4.925422
10.740157,9.08572,4.925612
10.743405,9.086058,4.925682
10.744811,9.086879,4.925728
10.747311,9.087607,4.925926
10.747374,9.088691,4.926412
10.747862,9.089522,4.926424
10.747862,9.090278,4.926603
10.75064,9.091075,4.926674
10.752644,9.092437,4.927335
10.754336,9.092784,4.927655
10.754809,9.094022,4.927866
10.754809,9.09466,4.928
10.755799,9.097047,4.928176
10.755799,9.097551,4.9285
10.760549,9.097551,4.928717
10.760549,9.100174,4.928717
10.760565,9.100958,4.928728
10.760571,9.100958,4.928917
10.760571,9.101917,4.92893
10.763602,9.10192,4.929066
10.764563,9.102406,4.929272
10.771458,9.102714,4.9293
10.771477,9.103275,4.929343
10.772239,9.103448,4.92936
10.772239,9.103448,4.929762
10.773785,9.104995,4.930216
10.779439,9.105109,4.930388
10.784538,9.105109,4.930388
10.784538,9.106342,4.930778
10.786093,9.107527,4.930907
10.789394,9.107618,4.930931
10.789394,9.108772,4.930959
10.78989,9.108888,4.931035
10.793492,9.108888,4.931035
10.793856,9.109329,4.931177
10.794906,9.109859,4.931429
10.799216,9.109859,4.931587
10.801509,9.110132,4.931682
10.801856,9.111094,4.932082
10.803508,9.111434,4.932082
10.803508,9.112953,4.932289
10.804385,9.113253,4.932457
10.804385,9.113569,4.932974
10.807017,9.114691,4.933067
10.808026,9.1168,4.933496
10.808026,9.120296,4.933507
10.808334,9.120337,4.933759
10.809816,9.120728,4.933794
10.809816,9.120728,4.934967
10.809913,9.121038,4.934996
10.809913,9.121422,4.935419
10.81184,9.121422,4.935419
10.815389,9.121422,4.93547
10.815389,9.123164,4.935856
10.816199,9.123242,4.93604
10.819016,9.123242,4.93604
10.821981,9.123746,4.936291
10.82212,9.124373,4.936431
10.82212,9.124818,4.936777
10.826937,9.125926,4.93732
10.827616,9.125926,4.937615
10.828524,9.126557,4.937692
10.828524,9.126935,4.938004
10.831804,9.12803,4.938087
10.831971,9.128394,4.938254
10.831971,9.128394,4.938419
10.832092,9.128527,4.938424
10.832092,9.129,4.938445
10.832827,9.129812,4.938458
10.835532,9.129981,4.938929
10.836266,9.129981,4.939047
10.837545,9.130399,4.93925
10.837716,9.130623,4.93964
10.838952,9.132075,4.940814
10.846075,9.133825,4.94088
10.848797,9.13396,4.94088
10.848797,9.13396,4.941176
10.849315,9.134016,4.941176
10.849315,9.134734,4.941198
10.849315,9.134737,4.941272
10.849315,9.135001,4.941272
10.850191,9.13513,4.941477
10.851813,9.135186,4.941477
10.854152,9.135186,4.941571
10.856903,9.136005,4.941967
10.856977,9.137171,4.942378
10.859941,9.137171,4.943291
10.862456,9.138233,4.94335
10.862456,9.138417,4.943516
10.863285,9.138461,4.943743
10.870843,9.139783,4.943949
10.871203,9.140234,4.944273
10.871489,9.14093,4.944401
10.872835,9.143471,4.944614
10.874403,9.144162,4.944736
10.874541,9.144578,4.944789
10.87678,9.145053,4.944954
10.87795,9.145898,4.944997
10.87795,9.14606,4.945027
10.879236,9.146838,4.945039
10.880435,9.148245,4.945123
10.880589,9.150009,4.945123
10.882498,9.15283,4.945241
10.884754,9.153134,4.945241
10.887957,9.154363,4.945584
10.892202,9.155754,4.94571
10.892202,9.156538,4.946202
10.894715,9.156538,4.946286
10.894715,9.156756,4.946397
10.900331,9.156756,4.94679
10.901736,9.157108,4.947282
10.901736,9.157108,4.94738
10.902101,9.159675,4.947402
10.902655,9.159732,4.947402
10.902655,9.16341,4.947509
10.90524,9.163497,4.947582
10.913728,9.163651,4.947791
10.914795,9.16411,4.94825
10.920328,9.164878,4.948595
10.921429,9.167186,4.948619
10.924407,9.167614,4.948669
10.924407,9.168327,4.948826
10.925994,9.168372,4.949395
10.925994,9.170547,4.949715
10.926271,9.170866,4.949715
10.93423,9.17113,4.94972
10.93423,9.17163,4.95004
10.935362,9.172434,4.950058
10.93611,9.174062,4.950093
10.938087,9.174062,4.952219
10.938087,9.175091,4.952344
10.938507,9.176401,4.952621
10.939212,9.177258,4.952705
10.94063,9.177296,4.95291
10.941533,9.178373,4.95297
10.944521,9.179499,4.953141
10.944521,9.179499,4.953141
10.94855,9.182415,4.953311
10.951932,9.182874,4.953442
10.954357,9.18386,4.953629
10.954357,9.183876,4.954122
10.961093,9.185965,4.954679
10.961093,9.186538,4.956397
10.961636,9.186609,4.956558
10.963809,9.18789,4.95666
10.970976,9.18789,4.95666
10.971123,9.188315,4.956762
10.971619,9.188463,4.956981
10.97777,9.189508,4.957009
10.97777,9.189523,4.957016
10.979315,9.191843,4.957016
10.979315,9.192098,4.957052
10.987737,9.192201,4.957332
10.98827,9.192248,4.957393
10.994878,9.192616,4.957393
10.997743,9.192672,4.957491
10.998147,9.192698,4.957525
11,9.192771,4.957534
11.000779,9.193057,4.957596
11.005039,9.194904,4.957617
11.007691,9.19517,4.958088
11.011659,9.195175,4.958095
11.014304,9.195963,4.958426
11.016826,9.196123,4.958986
11.017453,9.196831,4.959496
11.021948,9.196901,4.95965
11.021948,9.196901,4.959724
11.022424,9.197378,4.959743
11.02292,9.197586,4.959743
11.023388,9.197586,4.959899
11.023388,9.197741,4.959899
11.024609,9.197769,4.96
11.026936,9.198808,4.960299
11.029779,9.199635,4.960299
11.034056,9.199635,4.960577
11.034056,9.199873,4.960859
11.036267,9.200696,4.96092
11.036738,9.200696,4.961401
11.037905,9.201542,4.961445
11.038651,9.201942,4.962195
11.038651,9.202354,4.962827
11.042334,9.202354,4.963198
11.042334,9.202482,4.963416
11.042418,9.20437,4.964005
11.043776,9.204782,4.964451
11.044204,9.204854,4.964451
11.044204,9.205595,4.964932
11.044565,9.205595,4.96536
